c FILE: v150_d5.dat

p edge 150 559
e 1 2
e 1 17
e 1 87
e 1 91
e 1 114
e 2 3
e 2 82
e 2 88
e 2 119
e 2 124
e 2 130
e 2 146
e 3 4
e 3 79
e 3 90
e 3 100
e 3 106
e 3 132
e 4 5
e 4 9
e 4 24
e 4 40
e 4 63
e 4 71
e 4 108
e 4 138
e 5 6
e 5 27
e 5 51
e 5 57
e 5 78
e 5 87
e 5 95
e 5 111
e 5 126
e 6 7
e 6 77
e 6 103
e 7 8
e 7 16
e 7 26
e 7 44
e 7 46
e 7 56
e 7 70
e 7 72
e 7 100
e 7 107
e 7 114
e 8 9
e 8 47
e 8 99
e 8 108
e 8 109
e 9 10
e 9 12
e 9 24
e 9 28
e 9 39
e 9 109
e 10 11
e 10 49
e 10 51
e 10 53
e 10 64
e 10 81
e 10 92
e 10 99
e 10 121
e 11 12
e 11 18
e 11 19
e 11 23
e 11 71
e 11 84
e 11 93
e 11 119
e 12 13
e 12 122
e 12 138
e 13 14
e 13 38
e 13 100
e 13 103
e 13 141
e 14 15
e 14 45
e 14 99
e 14 100
e 14 114
e 14 127
e 14 128
e 15 16
e 15 33
e 15 56
e 15 68
e 15 93
e 15 116
e 15 126
e 15 127
e 15 130
e 15 136
e 15 139
e 16 17
e 16 26
e 16 37
e 16 45
e 16 48
e 17 18
e 17 27
e 17 102
e 18 19
e 18 22
e 18 61
e 19 20
e 19 61
e 19 63
e 20 21
e 20 50
e 20 73
e 20 118
e 20 137
e 21 22
e 21 58
e 21 64
e 21 96
e 21 112
e 21 121
e 21 148
e 22 23
e 22 25
e 22 34
e 22 99
e 23 24
e 23 60
e 23 131
e 24 25
e 24 30
e 24 101
e 24 122
e 24 132
e 25 26
e 25 36
e 25 57
e 25 77
e 25 111
e 26 27
e 26 31
e 26 35
e 26 38
e 26 40
e 26 44
e 26 50
e 26 119
e 26 140
e 26 147
e 27 28
e 27 51
e 27 60
e 27 77
e 27 132
e 28 29
e 28 52
e 28 55
e 28 91
e 28 112
e 28 116
e 29 30
e 29 57
e 29 88
e 29 121
e 29 135
e 30 31
e 30 69
e 30 92
e 30 108
e 30 109
e 31 32
e 31 43
e 31 68
e 31 79
e 31 94
e 31 95
e 31 111
e 32 33
e 32 40
e 32 90
e 33 34
e 33 61
e 33 83
e 33 140
e 34 35
e 34 65
e 34 99
e 34 114
e 34 145
e 35 36
e 35 39
e 35 46
e 35 85
e 35 145
e 36 37
e 36 47
e 36 72
e 36 90
e 36 101
e 36 110
e 36 114
e 36 126
e 36 141
e 37 38
e 37 44
e 37 65
e 37 75
e 37 89
e 37 101
e 37 105
e 37 118
e 37 133
e 37 143
e 38 39
e 38 46
e 38 49
e 38 75
e 38 93
e 38 107
e 38 118
e 38 130
e 38 149
e 39 40
e 39 90
e 39 139
e 39 140
e 40 41
e 40 104
e 41 42
e 41 44
e 41 69
e 41 73
e 41 94
e 41 109
e 41 133
e 42 43
e 42 65
e 42 81
e 42 120
e 42 146
e 43 44
e 43 96
e 44 45
e 44 61
e 44 75
e 44 88
e 45 46
e 45 55
e 45 57
e 45 105
e 45 119
e 45 133
e 46 47
e 46 59
e 46 77
e 46 100
e 46 133
e 46 147
e 47 48
e 47 89
e 47 99
e 47 108
e 47 109
e 47 136
e 48 49
e 48 119
e 48 127
e 49 50
e 49 55
e 49 101
e 50 51
e 50 53
e 50 60
e 51 52
e 51 114
e 51 119
e 52 53
e 52 69
e 52 85
e 52 102
e 52 103
e 52 115
e 52 127
e 52 145
e 53 54
e 53 101
e 53 131
e 53 134
e 54 55
e 54 67
e 54 115
e 54 136
e 55 56
e 55 97
e 55 103
e 56 57
e 56 65
e 56 72
e 56 135
e 56 145
e 57 58
e 57 82
e 57 108
e 57 146
e 58 59
e 58 65
e 58 139
e 59 60
e 59 62
e 59 105
e 60 61
e 60 107
e 60 117
e 60 126
e 61 62
e 61 87
e 61 120
e 61 150
e 62 63
e 62 68
e 63 64
e 63 68
e 63 80
e 63 104
e 64 65
e 64 77
e 64 113
e 64 128
e 64 144
e 64 146
e 65 66
e 65 99
e 65 102
e 65 125
e 65 136
e 65 142
e 65 148
e 66 67
e 66 76
e 66 98
e 66 109
e 66 118
