c FILE: v200_d30.dat

p edge 200 5970
e 1 2
e 1 8
e 1 9
e 1 18
e 1 21
e 1 27
e 1 38
e 1 58
e 1 70
e 1 72
e 1 73
e 1 78
e 1 79
e 1 84
e 1 92
e 1 103
e 1 110
e 1 112
e 1 113
e 1 116
e 1 117
e 1 119
e 1 125
e 1 127
e 1 130
e 1 153
e 1 189
e 1 194
e 1 198
e 2 3
e 2 4
e 2 10
e 2 17
e 2 26
e 2 36
e 2 42
e 2 43
e 2 46
e 2 47
e 2 48
e 2 55
e 2 62
e 2 65
e 2 66
e 2 75
e 2 76
e 2 77
e 2 80
e 2 84
e 2 87
e 2 90
e 2 97
e 2 99
e 2 102
e 2 103
e 2 104
e 2 109
e 2 110
e 2 111
e 2 113
e 2 118
e 2 119
e 2 124
e 2 125
e 2 126
e 2 128
e 2 135
e 2 138
e 2 139
e 2 143
e 2 144
e 2 145
e 2 148
e 2 149
e 2 154
e 2 155
e 2 165
e 2 166
e 2 169
e 2 175
e 2 178
e 2 186
e 2 187
e 2 190
e 2 196
e 2 197
e 3 4
e 3 5
e 3 12
e 3 16
e 3 17
e 3 21
e 3 22
e 3 23
e 3 29
e 3 31
e 3 36
e 3 38
e 3 44
e 3 47
e 3 53
e 3 57
e 3 58
e 3 64
e 3 71
e 3 73
e 3 79
e 3 85
e 3 94
e 3 95
e 3 97
e 3 98
e 3 100
e 3 101
e 3 106
e 3 111
e 3 114
e 3 120
e 3 129
e 3 136
e 3 140
e 3 141
e 3 142
e 3 145
e 3 149
e 3 150
e 3 151
e 3 155
e 3 161
e 3 165
e 3 169
e 3 173
e 3 184
e 3 186
e 3 187
e 3 190
e 3 191
e 3 193
e 4 5
e 4 6
e 4 12
e 4 13
e 4 14
e 4 15
e 4 21
e 4 28
e 4 32
e 4 34
e 4 35
e 4 36
e 4 37
e 4 40
e 4 46
e 4 47
e 4 51
e 4 60
e 4 67
e 4 68
e 4 69
e 4 72
e 4 78
e 4 82
e 4 84
e 4 90
e 4 94
e 4 96
e 4 100
e 4 103
e 4 107
e 4 111
e 4 114
e 4 125
e 4 128
e 4 129
e 4 131
e 4 133
e 4 139
e 4 146
e 4 147
e 4 148
e 4 150
e 4 151
e 4 152
e 4 153
e 4 154
e 4 155
e 4 157
e 4 158
e 4 160
e 4 163
e 4 164
e 4 165
e 4 167
e 4 170
e 4 171
e 4 174
e 4 176
e 4 177
e 4 179
e 4 180
e 4 181
e 4 183
e 4 184
e 4 186
e 4 189
e 4 190
e 4 193
e 4 196
e 5 6
e 5 9
e 5 11
e 5 13
e 5 16
e 5 17
e 5 21
e 5 22
e 5 24
e 5 26
e 5 27
e 5 29
e 5 35
e 5 38
e 5 39
e 5 40
e 5 44
e 5 45
e 5 46
e 5 53
e 5 55
e 5 60
e 5 61
e 5 68
e 5 70
e 5 76
e 5 83
e 5 85
e 5 86
e 5 87
e 5 88
e 5 92
e 5 93
e 5 94
e 5 97
e 5 98
e 5 99
e 5 104
e 5 107
e 5 118
e 5 119
e 5 120
e 5 122
e 5 125
e 5 126
e 5 128
e 5 133
e 5 134
e 5 144
e 5 146
e 5 147
e 5 148
e 5 149
e 5 152
e 5 158
e 5 159
e 5 160
e 5 161
e 5 171
e 5 172
e 5 180
e 5 184
e 5 185
e 5 189
e 5 190
e 5 191
e 5 195
e 5 197
e 5 199
e 5 200
e 6 7
e 6 12
e 6 14
e 6 15
e 6 16
e 6 18
e 6 27
e 6 30
e 6 34
e 6 36
e 6 39
e 6 44
e 6 45
e 6 46
e 6 49
e 6 51
e 6 54
e 6 61
e 6 62
e 6 70
e 6 71
e 6 72
e 6 73
e 6 81
e 6 87
e 6 88
e 6 102
e 6 105
e 6 106
e 6 110
e 6 112
e 6 113
e 6 119
e 6 129
e 6 132
e 6 133
e 6 135
e 6 140
e 6 147
e 6 148
e 6 153
e 6 158
e 6 161
e 6 165
e 6 166
e 6 175
e 6 176
e 6 178
e 6 179
e 6 186
e 6 190
e 6 195
e 6 197
e 6 198
e 7 8
e 7 15
e 7 21
e 7 23
e 7 27
e 7 29
e 7 32
e 7 34
e 7 39
e 7 43
e 7 46
e 7 47
e 7 50
e 7 73
e 7 75
e 7 77
e 7 79
e 7 84
e 7 85
e 7 89
e 7 91
e 7 102
e 7 111
e 7 114
e 7 116
e 7 122
e 7 123
e 7 126
e 7 131
e 7 133
e 7 135
e 7 138
e 7 141
e 7 144
e 7 148
e 7 153
e 7 156
e 7 164
e 7 167
e 7 171
e 7 175
e 7 176
e 7 178
e 7 179
e 7 181
e 7 183
e 7 184
e 7 186
e 7 189
e 7 193
e 7 195
e 8 9
e 8 11
e 8 17
e 8 20
e 8 22
e 8 25
e 8 31
e 8 38
e 8 44
e 8 46
e 8 50
e 8 53
e 8 54
e 8 55
e 8 60
e 8 61
e 8 64
e 8 65
e 8 75
e 8 76
e 8 79
e 8 83
e 8 84
e 8 85
e 8 88
e 8 91
e 8 98
e 8 101
e 8 103
e 8 104
e 8 105
e 8 111
e 8 120
e 8 122
e 8 124
e 8 126
e 8 129
e 8 134
e 8 144
e 8 147
e 8 148
e 8 150
e 8 152
e 8 154
e 8 155
e 8 159
e 8 160
e 8 165
e 8 167
e 8 168
e 8 169
e 8 170
e 8 175
e 8 182
e 8 183
e 8 184
e 8 190
e 8 191
e 8 198
e 9 10
e 9 14
e 9 15
e 9 18
e 9 21
e 9 26
e 9 28
e 9 38
e 9 43
e 9 46
e 9 47
e 9 48
e 9 52
e 9 53
e 9 57
e 9 60
e 9 66
e 9 68
e 9 74
e 9 75
e 9 78
e 9 81
e 9 83
e 9 87
e 9 88
e 9 89
e 9 92
e 9 93
e 9 96
e 9 102
e 9 104
e 9 111
e 9 113
e 9 114
e 9 116
e 9 117
e 9 118
e 9 119
e 9 120
e 9 126
e 9 130
e 9 131
e 9 133
e 9 134
e 9 135
e 9 137
e 9 139
e 9 141
e 9 142
e 9 150
e 9 153
e 9 156
e 9 157
e 9 158
e 9 160
e 9 162
e 9 163
e 9 164
e 9 170
e 9 173
e 9 176
e 9 180
e 9 182
e 9 183
e 9 189
e 9 191
e 9 193
e 10 11
e 10 17
e 10 19
e 10 21
e 10 24
e 10 25
e 10 30
e 10 33
e 10 40
e 10 43
e 10 45
e 10 49
e 10 52
e 10 55
e 10 57
e 10 60
e 10 62
e 10 64
e 10 65
e 10 68
e 10 99
e 10 108
e 10 111
e 10 114
e 10 115
e 10 117
e 10 118
e 10 119
e 10 121
e 10 122
e 10 132
e 10 135
e 10 141
e 10 145
e 10 146
e 10 148
e 10 151
e 10 158
e 10 160
e 10 164
e 10 165
e 10 167
e 10 168
e 10 169
e 10 173
e 10 177
e 10 183
e 10 186
e 10 189
e 10 191
e 10 194
e 10 198
e 11 12
e 11 14
e 11 21
