c FILE: v150_d30.dat

p edge 150 3353
e 1 2
e 1 4
e 1 8
e 1 22
e 1 29
e 1 32
e 1 38
e 1 40
e 1 47
e 1 50
e 1 51
e 1 63
e 1 73
e 1 80
e 1 96
e 1 99
e 1 125
e 1 131
e 1 140
e 1 142
e 1 146
e 2 3
e 2 6
e 2 7
e 2 8
e 2 11
e 2 12
e 2 18
e 2 22
e 2 23
e 2 25
e 2 32
e 2 37
e 2 38
e 2 42
e 2 44
e 2 52
e 2 55
e 2 57
e 2 58
e 2 62
e 2 67
e 2 69
e 2 73
e 2 75
e 2 76
e 2 78
e 2 80
e 2 82
e 2 83
e 2 93
e 2 94
e 2 100
e 2 102
e 2 105
e 2 108
e 2 109
e 2 111
e 2 115
e 2 118
e 2 121
e 2 124
e 2 125
e 2 128
e 2 131
e 2 133
e 2 134
e 2 138
e 2 142
e 2 143
e 2 146
e 3 4
e 3 5
e 3 6
e 3 13
e 3 14
e 3 15
e 3 16
e 3 27
e 3 28
e 3 30
e 3 34
e 3 37
e 3 41
e 3 44
e 3 45
e 3 47
e 3 48
e 3 53
e 3 58
e 3 63
e 3 66
e 3 68
e 3 71
e 3 75
e 3 77
e 3 85
e 3 94
e 3 97
e 3 100
e 3 101
e 3 102
e 3 103
e 3 105
e 3 109
e 3 111
e 3 114
e 3 115
e 3 116
e 3 121
e 3 125
e 3 126
e 3 129
e 3 130
e 3 134
e 3 136
e 3 140
e 3 142
e 3 143
e 3 147
e 4 5
e 4 10
e 4 11
e 4 15
e 4 17
e 4 18
e 4 21
e 4 27
e 4 34
e 4 36
e 4 39
e 4 41
e 4 42
e 4 43
e 4 44
e 4 45
e 4 46
e 4 49
e 4 50
e 4 51
e 4 61
e 4 62
e 4 67
e 4 74
e 4 75
e 4 77
e 4 82
e 4 91
e 4 92
e 4 96
e 4 99
e 4 105
e 4 111
e 4 118
e 4 119
e 4 126
e 4 127
e 4 129
e 4 133
e 4 136
e 4 138
e 4 139
e 4 141
e 4 144
e 5 6
e 5 7
e 5 19
e 5 20
e 5 21
e 5 23
e 5 29
e 5 31
e 5 33
e 5 34
e 5 35
e 5 36
e 5 48
e 5 51
e 5 52
e 5 54
e 5 55
e 5 66
e 5 68
e 5 69
e 5 79
e 5 82
e 5 85
e 5 89
e 5 90
e 5 91
e 5 99
e 5 104
e 5 105
e 5 107
e 5 109
e 5 115
e 5 117
e 5 121
e 5 123
e 5 125
e 5 127
e 5 130
e 5 133
e 5 134
e 5 139
e 5 142
e 5 146
e 5 147
e 5 148
e 6 7
e 6 8
e 6 11
e 6 12
e 6 23
e 6 30
e 6 31
e 6 34
e 6 35
e 6 39
e 6 41
e 6 48
e 6 49
e 6 50
e 6 55
e 6 56
e 6 60
e 6 63
e 6 64
e 6 66
e 6 67
e 6 68
e 6 71
e 6 80
e 6 83
e 6 86
e 6 91
e 6 93
e 6 95
e 6 97
e 6 98
e 6 101
e 6 107
e 6 112
e 6 114
e 6 115
e 6 116
e 6 117
e 6 119
e 6 120
e 6 132
e 6 140
e 7 8
e 7 11
e 7 16
e 7 30
e 7 34
e 7 38
e 7 40
e 7 42
e 7 45
e 7 46
e 7 47
e 7 52
e 7 56
e 7 57
e 7 58
e 7 59
e 7 61
e 7 63
e 7 66
e 7 69
e 7 74
e 7 79
e 7 82
e 7 83
e 7 86
e 7 87
e 7 92
e 7 95
e 7 109
e 7 111
e 7 116
e 7 119
e 7 124
e 7 125
e 7 137
e 7 141
e 7 149
e 8 9
e 8 10
e 8 15
e 8 24
e 8 26
e 8 30
e 8 31
e 8 32
e 8 33
e 8 34
e 8 35
e 8 37
e 8 40
e 8 47
e 8 50
e 8 51
e 8 54
e 8 56
e 8 58
e 8 59
e 8 60
e 8 63
e 8 64
e 8 67
e 8 68
e 8 72
e 8 76
e 8 79
e 8 93
e 8 95
e 8 96
e 8 98
e 8 99
e 8 105
e 8 111
e 8 112
e 8 113
e 8 116
e 8 117
e 8 120
e 8 124
e 8 127
e 8 129
e 8 130
e 8 132
e 8 133
e 8 142
e 8 144
e 8 148
e 8 150
e 9 10
e 9 11
e 9 12
e 9 13
e 9 17
e 9 21
e 9 27
e 9 29
e 9 30
e 9 38
e 9 41
e 9 51
e 9 53
e 9 54
e 9 56
e 9 59
e 9 60
e 9 65
e 9 66
e 9 68
e 9 71
e 9 74
e 9 75
e 9 85
e 9 87
e 9 91
e 9 99
e 9 105
e 9 116
e 9 122
e 9 123
e 9 125
e 9 126
e 9 128
e 9 129
e 9 134
e 9 138
e 9 141
e 9 142
e 9 150
e 10 11
e 10 15
e 10 16
e 10 19
e 10 20
e 10 25
e 10 33
e 10 39
e 10 43
e 10 44
e 10 48
e 10 56
e 10 59
e 10 61
e 10 66
e 10 70
e 10 72
e 10 75
e 10 80
e 10 83
e 10 84
e 10 92
e 10 93
e 10 94
e 10 108
e 10 111
e 10 113
e 10 115
e 10 120
e 10 121
e 10 126
e 10 128
e 10 131
e 10 134
e 10 135
e 10 138
e 10 139
e 10 140
e 10 142
e 11 12
e 11 17
e 11 19
e 11 20
e 11 21
e 11 23
e 11 25
e 11 29
e 11 30
e 11 33
e 11 34
e 11 37
e 11 39
e 11 40
e 11 44
e 11 50
e 11 53
e 11 59
e 11 63
e 11 66
e 11 69
e 11 72
e 11 83
e 11 86
e 11 95
e 11 97
e 11 100
e 11 101
e 11 103
e 11 105
e 11 107
e 11 113
e 11 115
e 11 116
e 11 125
e 11 135
e 11 136
e 11 138
e 11 140
e 11 141
e 11 146
e 11 150
e 12 13
e 12 14
e 12 15
e 12 17
e 12 20
e 12 21
e 12 24
e 12 25
e 12 50
e 12 52
e 12 58
e 12 59
e 12 66
e 12 67
e 12 68
e 12 69
e 12 74
e 12 78
e 12 81
e 12 82
e 12 87
e 12 94
e 12 98
e 12 100
e 12 105
e 12 106
e 12 107
e 12 110
e 12 111
e 12 112
e 12 113
e 12 114
e 12 117
e 12 118
e 12 120
e 12 124
e 12 127
e 12 128
e 12 129
e 12 135
e 12 140
e 12 141
e 12 144
e 13 14
e 13 18
e 13 20
e 13 21
e 13 22
e 13 24
e 13 26
e 13 36
e 13 37
e 13 38
e 13 39
e 13 50
e 13 53
e 13 54
e 13 57
e 13 59
e 13 61
e 13 68
e 13 69
e 13 70
e 13 74
e 13 75
e 13 76
e 13 79
e 13 84
e 13 89
e 13 90
e 13 96
e 13 98
e 13 99
e 13 100
e 13 101
e 13 102
e 13 107
e 13 109
e 13 113
e 13 115
e 13 118
e 13 122
e 13 124
e 13 126
e 13 127
e 13 130
e 13 132
e 13 136
e 13 142
e 13 144
e 13 148
e 13 149
e 14 15
e 14 18
e 14 21
e 14 35
e 14 36
e 14 37
e 14 39
e 14 41
e 14 43
e 14 46
e 14 49
e 14 53
e 14 54
e 14 59
e 14 60
e 14 61
e 14 67
e 14 69
e 14 74
e 14 78
e 14 84
e 14 85
e 14 88
e 14 89
e 14 90
e 14 92
e 14 98
e 14 103
e 14 115
e 14 116
e 14 118
e 14 121
e 14 125
e 14 127
e 14 131
e 14 133
e 14 135
e 14 141
e 14 148
e 14 149
e 15 16
e 15 26
e 15 27
e 15 29
e 15 32
e 15 35
e 15 37
e 15 39
e 15 44
e 15 47
e 15 50
e 15 51
e 15 54
e 15 60
e 15 62
e 15 63
e 15 69
e 15 76
e 15 79
e 15 86
e 15 91
e 15 94
e 15 95
e 15 96
e 15 98
e 15 99
e 15 101
e 15 105
e 15 109
e 15 114
e 15 116
e 15 119
e 15 122
e 15 127
e 15 133
e 15 135
e 15 136
e 15 142
e 15 144
e 15 149
e 16 17
e 16 20
e 16 21
e 16 24
e 16 28
e 16 31
e 16 32
e 16 34
e 16 35
e 16 37
e 16 42
e 16 44
e 16 46
e 16 49
e 16 55
e 16 58
e 16 60
e 16 62
e 16 63
e 16 66
e 16 69
e 16 71
e 16 73
e 16 74
e 16 77
e 16 78
e 16 83
e 16 84
e 16 88
e 16 89
e 16 90
e 16 92
e 16 95
e 16 96
e 16 99
e 16 111
e 16 112
e 16 116
e 16 120
e 16 123
e 16 125
e 16 126
e 16 131
e 16 132
e 16 133
e 16 135
e 16 136
e 16 137
e 16 138
e 16 139
e 16 144
e 16 149
e 17 18
e 17 20
e 17 23
e 17 24
e 17 27
e 17 31
e 17 32
e 17 34
e 17 38
e 17 42
e 17 49
e 17 53
e 17 59
e 17 62
e 17 71
e 17 76
e 17 83
e 17 85
e 17 86
e 17 91
e 17 95
e 17 107
e 17 108
e 17 111
e 17 112
e 17 117
e 17 119
e 17 123
e 17 125
e 17 128
e 17 132
e 17 137
e 17 138
e 17 142
e 17 144
e 17 146
e 17 147
e 17 148
e 18 19
e 18 29
e 18 31
e 18 34
e 18 37
e 18 40
e 18 41
e 18 45
e 18 49
e 18 52
e 18 54
e 18 67
e 18 68
e 18 70
e 18 72
e 18 75
e 18 78
e 18 79
e 18 84
e 18 85
e 18 88
e 18 93
e 18 98
e 18 100
e 18 102
e 18 103
e 18 105
e 18 107
e 18 110
e 18 114
e 18 119
e 18 122
e 18 125
e 18 130
e 18 131
e 18 134
e 18 136
e 18 137
e 18 138
e 18 140
e 18 143
e 18 147
e 18 148
e 19 20
e 19 24
e 19 25
e 19 27
e 19 39
e 19 43
e 19 44
e 19 48
e 19 53
e 19 54
e 19 55
e 19 71
e 19 74
e 19 81
e 19 84
e 19 91
e 19 100
e 19 106
e 19 109
e 19 110
e 19 111
e 19 113
e 19 132
e 19 134
e 19 142
e 19 143
e 19 144
e 19 147
e 19 148
e 19 149
e 20 21
e 20 24
e 20 36
e 20 40
e 20 42
e 20 44
e 20 46
e 20 47
e 20 49
e 20 56
e 20 57
e 20 60
e 20 66
e 20 77
e 20 78
e 20 82
e 20 83
e 20 86
e 20 87
e 20 90
e 20 93
e 20 95
e 20 98
e 20 100
e 20 102
e 20 107
e 20 110
e 20 112
e 20 122
e 20 124
e 20 126
e 20 129
e 20 130
e 20 134
e 20 141
e 20 142
e 21 22
e 21 27
e 21 28
e 21 29
e 21 37
e 21 39
e 21 43
e 21 56
e 21 57
e 21 58
e 21 62
e 21 65
e 21 71
e 21 78
e 21 89
e 21 90
e 21 95
e 21 96
e 21 97
e 21 100
e 21 103
e 21 106
e 21 108
e 21 121
e 21 122
e 21 124
e 21 125
e 21 126
e 21 131
e 21 139
e 21 141
e 22 23
e 22 25
e 22 27
e 22 28
e 22 30
e 22 40
e 22 43
e 22 45
e 22 49
e 22 53
e 22 57
e 22 58
e 22 59
e 22 64
e 22 65
e 22 72
e 22 77
e 22 78
e 22 79
e 22 83
e 22 86
e 22 88
e 22 89
e 22 90
e 22 93
e 22 109
e 22 113
e 22 115
e 22 116
e 22 117
e 22 125
e 22 128
e 22 129
e 22 130
e 22 140
e 22 143
e 22 144
e 22 146
e 22 149
e 23 24
e 23 25
e 23 28
e 23 30
e 23 32
e 23 37
e 23 38
e 23 42
e 23 48
e 23 49
e 23 50
e 23 51
e 23 60
e 23 61
e 23 62
e 23 66
e 23 69
e 23 71
e 23 74
e 23 79
e 23 83
e 23 85
e 23 87
e 23 100
e 23 103
e 23 105
e 23 113
e 23 114
e 23 115
e 23 117
e 23 118
e 23 119
e 23 120
e 23 122
e 23 128
e 23 129
e 23 133
e 23 134
e 23 137
e 23 140
e 23 142
e 23 145
e 23 146
e 24 25
e 24 26
e 24 32
e 24 34
e 24 35
e 24 41
e 24 54
e 24 57
e 24 60
e 24 63
e 24 64
e 24 65
e 24 68
e 24 72
e 24 78
e 24 79
e 24 81
e 24 82
e 24 88
e 24 89
e 24 92
e 24 95
e 24 96
e 24 100
e 24 105
e 24 107
e 24 109
e 24 111
e 24 112
e 24 117
e 24 118
e 24 119
e 24 122
e 24 131
e 24 132
e 24 133
e 24 144
e 24 145
e 24 147
e 24 148
e 25 26
e 25 30
e 25 33
e 25 34
e 25 36
e 25 39
e 25 40
e 25 41
e 25 43
e 25 45
e 25 47
e 25 49
e 25 51
e 25 52
e 25 53
e 25 55
e 25 56
e 25 62
e 25 65
e 25 73
e 25 74
e 25 79
e 25 87
e 25 89
e 25 94
e 25 96
e 25 97
e 25 102
e 25 109
e 25 110
e 25 111
e 25 113
e 25 117
e 25 118
e 25 134
e 25 137
e 25 139
e 25 142
e 25 146
e 25 150
e 26 27
e 26 28
e 26 30
e 26 31
e 26 41
e 26 46
e 26 48
e 26 50
e 26 61
e 26 62
e 26 71
e 26 76
e 26 81
e 26 83
e 26 86
e 26 87
e 26 94
e 26 98
e 26 99
e 26 100
e 26 101
e 26 104
e 26 105
e 26 107
e 26 109
e 26 113
e 26 114
e 26 116
e 26 120
e 26 125
e 26 126
e 26 127
e 26 133
e 26 134
e 26 135
e 26 138
e 26 141
e 26 143
e 26 147
e 26 148
e 26 149
e 26 150
e 27 28
e 27 36
e 27 37
e 27 38
e 27 39
e 27 40
e 27 43
e 27 47
e 27 48
e 27 52
e 27 58
e 27 67
e 27 68
e 27 69
e 27 70
e 27 75
e 27 76
e 27 77
e 27 79
e 27 84
e 27 87
e 27 103
e 27 104
e 27 106
e 27 114
e 27 115
e 27 117
e 27 121
e 27 127
e 27 128
e 27 131
e 27 134
e 27 136
e 27 140
e 27 143
e 27 148
e 27 150
e 28 29
e 28 30
e 28 33
e 28 38
e 28 44
e 28 47
e 28 53
e 28 55
e 28 59
e 28 65
e 28 67
e 28 71
e 28 77
e 28 85
e 28 88
e 28 94
e 28 96
e 28 98
e 28 99
e 28 101
e 28 105
e 28 107
e 28 108
e 28 111
e 28 112
e 28 122
e 28 124
e 28 129
e 28 132
e 28 139
e 28 140
e 28 142
e 28 145
e 28 147
e 28 148
e 29 30
e 29 33
e 29 35
e 29 36
e 29 37
e 29 55
e 29 70
e 29 71
e 29 76
e 29 77
e 29 80
e 29 83
e 29 94
e 29 95
e 29 108
e 29 111
e 29 117
e 29 119
e 29 121
e 29 127
e 29 133
e 29 141
e 29 146
e 29 148
e 30 31
e 30 32
e 30 33
e 30 34
e 30 35
e 30 37
e 30 40
e 30 43
e 30 47
e 30 49
e 30 50
e 30 51
e 30 53
e 30 55
e 30 56
e 30 59
e 30 67
e 30 68
e 30 69
e 30 70
e 30 71
e 30 72
e 30 73
e 30 84
e 30 85
e 30 86
e 30 87
e 30 91
e 30 92
e 30 93
e 30 95
e 30 104
e 30 106
e 30 119
e 30 122
e 30 123
e 30 125
e 30 127
e 30 134
e 31 32
e 31 36
e 31 39
e 31 42
e 31 44
e 31 48
e 31 49
e 31 50
e 31 55
e 31 60
e 31 61
e 31 62
e 31 63
e 31 77
e 31 78
e 31 80
e 31 85
e 31 86
e 31 87
e 31 91
e 31 94
e 31 96
e 31 97
e 31 101
e 31 106
e 31 107
e 31 110
e 31 112
e 31 117
e 31 118
e 31 120
e 31 126
e 31 127
e 31 133
e 31 139
e 31 147
e 32 33
e 32 35
e 32 40
e 32 45
e 32 46
e 32 49
e 32 61
e 32 63
e 32 67
e 32 68
e 32 69
e 32 71
e 32 75
e 32 80
e 32 82
e 32 88
e 32 94
e 32 96
e 32 106
e 32 117
e 32 120
e 32 124
e 32 126
e 32 129
e 32 130
e 32 135
e 32 137
e 32 138
e 32 145
e 32 149
e 33 34
e 33 35
e 33 37
e 33 38
e 33 41
e 33 45
e 33 47
e 33 53
e 33 55
e 33 60
e 33 64
e 33 66
e 33 70
e 33 74
e 33 82
e 33 83
e 33 84
e 33 85
e 33 86
e 33 87
e 33 90
e 33 91
e 33 93
e 33 94
e 33 100
e 33 103
e 33 104
e 33 105
e 33 106
e 33 107
e 33 109
e 33 115
e 33 118
e 33 119
e 33 125
e 33 128
e 33 132
e 33 139
e 33 147
e 34 35
e 34 36
e 34 42
e 34 43
e 34 45
e 34 47
e 34 49
e 34 51
e 34 58
e 34 59
e 34 64
e 34 65
e 34 66
e 34 69
e 34 73
e 34 75
e 34 79
e 34 82
e 34 86
e 34 87
e 34 88
